place_id,label,city,state,place_context,category,total_stores,brand_count,nearest_opposite_brand_miles,median_nearest_opposite_brand_miles,close_pairs_under_quarter_mile,close_pairs_under_half_mile,spacing_profile_hint,evidence_summary
seattle,Seattle WA,Seattle,WA,puget_sound_core,home_improvement,5,2,0.47,1.81,0,2,same_place_rivalry_signal,multiple nearest opposite-brand links under 0.5 miles
seattle,Seattle WA,Seattle,WA,puget_sound_core,qsr,25,4,0.12,1.3,4,7,strong_same_place_rivalry_signal,multiple nearest opposite-brand links under 0.25 miles
seattle,Seattle WA,Seattle,WA,puget_sound_core,auto_parts,15,4,0.25,1.52,2,2,strong_same_place_rivalry_signal,multiple nearest opposite-brand links under 0.25 miles
tacoma,Tacoma WA,Tacoma,WA,puget_sound_core,home_improvement,4,2,0.31,1.92,0,2,same_place_rivalry_signal,multiple nearest opposite-brand links under 0.5 miles
tacoma,Tacoma WA,Tacoma,WA,puget_sound_core,qsr,25,4,0.03,0.36,8,14,strong_same_place_rivalry_signal,multiple nearest opposite-brand links under 0.25 miles
tacoma,Tacoma WA,Tacoma,WA,puget_sound_core,auto_parts,16,4,0.16,0.67,4,4,strong_same_place_rivalry_signal,multiple nearest opposite-brand links under 0.25 miles
bellevue,Bellevue WA,Bellevue,WA,puget_sound_core,home_improvement,1,1,,,0,0,capacity_only_single_brand_or_absent,not enough same-category brands for rivalry spacing
bellevue,Bellevue WA,Bellevue,WA,puget_sound_core,qsr,8,4,0.1,0.85,3,3,strong_same_place_rivalry_signal,multiple nearest opposite-brand links under 0.25 miles
bellevue,Bellevue WA,Bellevue,WA,puget_sound_core,auto_parts,4,3,1.53,1.83,0,0,co_presence_spacing_observed,opposite-brand co-presence exists but close-pair threshold not met
bainbridge-island,Bainbridge Island WA,Bainbridge Island,WA,ferry_side_place,qsr,1,1,,,0,0,capacity_only_single_brand_or_absent,not enough same-category brands for rivalry spacing
kingston,Kingston WA,Kingston,WA,ferry_side_place,qsr,1,1,,,0,0,capacity_only_single_brand_or_absent,not enough same-category brands for rivalry spacing
kingston,Kingston WA,Kingston,WA,ferry_side_place,auto_parts,2,1,,,0,0,capacity_only_single_brand_or_absent,not enough same-category brands for rivalry spacing
bremerton,Bremerton WA,Bremerton,WA,ferry_side_place,qsr,9,4,0.06,0.11,6,7,strong_same_place_rivalry_signal,multiple nearest opposite-brand links under 0.25 miles
bremerton,Bremerton WA,Bremerton,WA,ferry_side_place,auto_parts,7,3,0.06,0.27,3,5,strong_same_place_rivalry_signal,multiple nearest opposite-brand links under 0.25 miles
silverdale,Silverdale WA,Silverdale,WA,kitsap_service_node,home_improvement,2,2,0.44,0.44,0,2,same_place_rivalry_signal,multiple nearest opposite-brand links under 0.5 miles
silverdale,Silverdale WA,Silverdale,WA,kitsap_service_node,qsr,6,4,0.16,0.18,4,6,strong_same_place_rivalry_signal,multiple nearest opposite-brand links under 0.25 miles
silverdale,Silverdale WA,Silverdale,WA,kitsap_service_node,auto_parts,3,2,0.2,0.2,2,2,strong_same_place_rivalry_signal,multiple nearest opposite-brand links under 0.25 miles
poulsbo,Poulsbo WA,Poulsbo,WA,kitsap_service_node,home_improvement,1,1,,,0,0,capacity_only_single_brand_or_absent,not enough same-category brands for rivalry spacing
poulsbo,Poulsbo WA,Poulsbo,WA,kitsap_service_node,qsr,4,4,0.06,0.28,2,3,strong_same_place_rivalry_signal,multiple nearest opposite-brand links under 0.25 miles
